# Simulation 3 (Data loaded from a file),,
# 339 data points written for 3 variables.,,
#,,
# Time (s),Altitude (m),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds,,
# Event LAUNCH occurred at t=0 seconds,,
8.682,172.029,993.1
8.687,171.955,993.1
8.691,171.879,993.1
8.696,171.801,993.1
8.701,171.72,993.1
8.707,171.638,993.1
8.712,171.553,993.1
8.718,171.465,993.1
8.724,171.374,993.1
8.731,171.281,993.2
8.738,171.185,993.2
8.745,171.085,993.2
8.752,170.982,993.2
8.76,170.875,993.2
8.768,170.764,993.2
8.776,170.648,993.2
8.785,170.528,993.2
8.795,170.402,993.2
8.805,170.271,993.3
8.816,170.134,993.3
8.828,169.99,993.3
8.84,169.839,993.3
8.853,169.679,993.3
8.867,169.511,993.3
8.883,169.332,993.4
8.9,169.142,993.4
8.918,168.94,993.4
8.938,168.722,993.4
8.96,168.489,993.5
8.984,168.236,993.5
9.011,167.962,993.5
9.041,167.661,993.6
9.075,167.331,993.6
9.114,166.962,993.6
9.16,166.543,993.7
9.214,166.06,993.7
9.28,165.49,993.8
9.362,164.799,993.8
9.468,163.937,993.9
9.612,162.8,994
9.817,161.222,994.2
10.173,158.552,994.3
10.673,154.842,994.7
11.173,151.133,995.1
11.673,147.426,995.5
12.173,143.719,996
12.673,140.013,996.4
13.173,136.307,996.8
13.673,132.602,997.3
14.173,128.897,997.7
14.673,125.193,998.1
15.173,121.489,998.6
15.673,117.787,999
16.173,114.085,999.4
16.673,110.384,999.9
17.173,106.683,1000
17.673,102.984,1001
18.171,99.299,1001
18.671,95.601,1002
19.171,91.903,1002
19.671,88.205,1002
20.171,84.508,1003
20.671,80.811,1003
21.171,77.115,1004
21.671,73.42,1004
22.171,69.725,1005
22.671,66.031,1005
23.171,62.338,1006
23.671,58.646,1006
24.171,54.954,1006
24.671,51.263,1007
25.171,47.573,1007
25.671,43.883,1008
26.171,40.193,1008
26.671,36.506,1009
27.171,32.819,1009
27.671,29.133,1009
28.171,25.447,1010
28.671,21.762,1010
29.171,18.078,1011
29.671,14.392,1011
30.171,10.708,1012
30.671,7.024,1012
31.171,3.341,1012
# Event GROUND_HIT occurred at t=31.625 seconds,,
# Event SIMULATION_END occurred at t=31.625 seconds,,
31.625,0,1013
